agent_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,impulsiveness,sensitivity,confirmation_bias,trust_level,emotional_susceptibility,critical_thinking,fact_check_signal
A1,0.680336,0.508599,0.653192,0.682812,0.584818,0.791431,0.584818,0.598147,0.682812,0.562428,0.553995,0.2543
A2,0.486204,0.316826,0.436126,0.498441,0.39858,0.599658,0.39858,0.451976,0.498441,0.427444,0.434499,0.158413
A3,0.726493,0.554196,0.704802,0.726649,0.629099,0.837028,0.629099,0.632901,0.726649,0.594522,0.582406,0.277098
A4,0.994111,0.818562,1,0.980813,0.885835,1,0.885835,0.834404,0.980813,0.780603,0.747135,0.409281
A5,0.456888,0.287866,0.403346,0.470598,0.370456,0.570698,0.370456,0.429902,0.470598,0.40706,0.416454,0.143933
A6,0.730278,0.558066,0.709088,0.730303,0.632856,0.840939,0.632856,0.635677,0.730303,0.597148,0.584749,0.279033
A7,0.505417,0.335552,0.457193,0.516109,0.417035,0.618385,0.417035,0.465715,0.516109,0.441865,0.44686,0.167776
A8,0.825651,0.647545,0.812261,0.827827,0.733591,0.933221,0.733591,0.710777,0.827827,0.666993,0.647413,0.323773
A9,0.354174,0.191196,0.297405,0.378907,0.269411,0.47395,0.269411,0.339268,0.378907,0.322896,0.355106,0.095598
A10,0.499691,0.329971,0.450974,0.510609,0.411475,0.612797,0.411475,0.461461,0.510609,0.438031,0.4439,0.164986
A11,0.803746,0.625732,0.787704,0.806141,0.71064,0.910965,0.71064,0.694695,0.806141,0.651586,0.635831,0.312866
A12,0.435728,0.267329,0.379766,0.449764,0.348611,0.549746,0.348611,0.413725,0.449764,0.392505,0.404286,0.133664
A13,0.758066,0.58575,0.740263,0.757876,0.66173,0.871038,0.66173,0.660149,0.757876,0.616654,0.605336,0.292875
A14,0.563065,0.391696,0.523522,0.579462,0.478954,0.680065,0.478954,0.511388,0.579462,0.485149,0.482705,0.195848
A15,0.963249,0.78873,0.966952,0.950669,0.854619,1,0.854619,0.810577,0.950669,0.759253,0.729909,0.394365
A16,0.671319,0.499539,0.643325,0.673995,0.575618,0.782352,0.575618,0.591605,0.673995,0.555988,0.548325,0.24977
A17,0.218556,0.057077,0.14725,0.252062,0.106516,0.354247,0.106516,0.201646,0.252062,0.210433,0.246479,0.028539
A18,0.859235,0.681129,0.849204,0.86095,0.768656,0.967675,0.768656,0.735075,0.86095,0.691763,0.669865,0.340565
A19,0.84157,0.663363,0.82991,0.843075,0.750567,0.95,0.750567,0.723049,0.843075,0.679165,0.658742,0.331681
A20,0.697495,0.525547,0.671918,0.699762,0.602283,0.809079,0.602283,0.610813,0.699762,0.575197,0.565452,0.262774
A21,0.585724,0.41398,0.548056,0.601569,0.50157,0.702759,0.50157,0.528441,0.601569,0.501174,0.495039,0.20699
A22,0.663116,0.491325,0.634351,0.665809,0.5673,0.774138,0.5673,0.585732,0.665809,0.550186,0.543419,0.245662
A23,0.793264,0.61517,0.776182,0.795604,0.699849,0.900224,0.699849,0.68694,0.795604,0.644161,0.629528,0.307585
A24,0.916943,0.741006,0.915729,0.920959,0.828775,1,0.828775,0.778848,0.920959,0.731464,0.706173,0.370503
A25,0.887268,0.709391,0.87977,0.888879,0.79815,1,0.79815,0.755458,0.888879,0.712613,0.688842,0.354695
A26,0.536962,0.366472,0.49208,0.547844,0.44853,0.648903,0.44853,0.491953,0.547844,0.465993,0.46654,0.183236
A27,0.551601,0.379967,0.50893,0.565809,0.465492,0.666606,0.465492,0.502092,0.565809,0.475713,0.474668,0.189984
A28,0.655866,0.484196,0.626462,0.658514,0.559904,0.766788,0.559904,0.58043,0.658514,0.545161,0.5386,0.242098
A29,0.395232,0.229156,0.339678,0.418465,0.309062,0.513511,0.309062,0.370806,0.418465,0.352427,0.378954,0.114578
A30,0.305602,0.142491,0.246473,0.331295,0.220131,0.424864,0.220131,0.298246,0.331295,0.287807,0.32288,0.071246
A31,0.812296,0.634351,0.796917,0.814674,0.719601,0.920086,0.719601,0.701196,0.814674,0.657788,0.641014,0.317176
A32,0.86591,0.687796,0.856379,0.867499,0.775432,0.974558,0.775432,0.739773,0.867499,0.696142,0.673516,0.343898
A33,0.775618,0.60331,0.759495,0.775344,0.679363,0.888701,0.679363,0.673891,0.775344,0.629396,0.616668,0.301655
A34,0.940381,0.766324,0.941648,0.928236,0.835987,1,0.835987,0.79155,0.928236,0.741045,0.714488,0.383162
A35,0.83296,0.655079,0.82025,0.835154,0.741221,0.941091,0.741221,0.715978,0.835154,0.672023,0.651767,0.327539
A36,0.528407,0.358249,0.483017,0.539869,0.440263,0.640679,0.440263,0.485744,0.539869,0.460391,0.461026,0.179125
A37,0.648602,0.476839,0.618683,0.651167,0.552467,0.759367,0.552467,0.575024,0.651167,0.540026,0.533829,0.23842
A38,0.743048,0.570933,0.723048,0.74288,0.646537,0.85493,0.646537,0.646194,0.74288,0.606775,0.594794,0.285467
A39,0.718305,0.545805,0.695304,0.714555,0.617462,0.825656,0.617462,0.624119,0.714555,0.587843,0.576882,0.272902
A40,0.999661,0.824206,1,0.986302,0.89146,1,0.89146,0.838522,0.986302,0.784403,0.750519,0.412103
A41,0.428781,0.260205,0.371904,0.442999,0.341517,0.542522,0.341517,0.408412,0.442999,0.3876,0.400508,0.130103
A42,0.578652,0.407,0.540109,0.595493,0.495034,0.696144,0.495034,0.523395,0.595493,0.496587,0.490799,0.2035
A43,0.402096,0.23604,0.347313,0.42533,0.316045,0.520445,0.316045,0.376109,0.42533,0.357288,0.383182,0.11802
A44,0.957581,0.7828,0.960682,0.945033,0.848894,1,0.848894,0.806282,0.945033,0.755106,0.726279,0.3914
A45,0.767576,0.595267,0.750587,0.767357,0.671392,0.880949,0.671392,0.667504,0.767357,0.623439,0.611186,0.297633
A46,0.902269,0.725066,0.895058,0.904098,0.814041,1,0.814041,0.766795,0.904098,0.723707,0.698376,0.362533
A47,0.593635,0.421943,0.556857,0.609438,0.50974,0.710892,0.50974,0.534575,0.609438,0.506847,0.500299,0.210972
A48,0.479532,0.309995,0.428795,0.49191,0.391854,0.592731,0.391854,0.446863,0.49191,0.422782,0.43026,0.154997
A49,0.638521,0.466708,0.60749,0.641047,0.542289,0.74908,0.542289,0.567305,0.641047,0.53323,0.527339,0.233354
A50,0.750543,0.578648,0.731388,0.750388,0.65416,0.862828,0.65416,0.652157,0.750388,0.611985,0.600171,0.289324
